id,kind_of_need,allocation_diff,productivity
56,2,,0
56,3,,1
57,2,,0
57,2,,1
57,1,,0
57,4,0,1
57,1,,1
57,4,0,0
57,3,,1
57,3,,0
58,3,,0
58,3,,1
58,4,,0
58,2,0,0
58,1,,0
58,4,,1
58,2,-600,1
58,1,,1
59,4,0,0
59,2,,0
59,3,,0
59,2,,1
59,3,,1
59,1,,0
59,1,,1
59,4,-600,1
60,1,,1
60,4,,0
60,3,,1
60,2,0,0
60,1,,0
60,2,-200,1
60,4,,1
60,3,,0
61,1,,1
61,2,,0
61,3,0,0
61,3,0,1
61,4,,0
61,2,,1
61,4,,1
61,1,,0
62,2,,0
62,4,-600,1
62,4,0,0
62,1,,1
62,3,,1
62,2,,1
62,1,,0
62,3,,0
63,2,,1
63,1,-100,1
63,4,,1
63,3,,0
63,3,,1
63,1,0,0
63,4,,0
63,2,,0
64,1,,1
64,4,,1
64,4,,0
64,1,,0
64,2,-300,1
64,3,,0
64,3,,1
64,2,0,0
65,1,,0
65,3,,0
65,2,0,1
65,1,,1
65,3,,1
65,2,0,0
65,4,,1
65,4,,0
66,2,,1
66,3,,0
66,4,,0
66,1,-200,1
66,2,,0
66,4,,1
66,3,,1
66,1,0,0
67,2,0,0
67,1,,1
67,3,,0
67,3,,1
67,4,,1
67,4,,0
67,2,-400,1
67,1,,0
68,1,,1
68,3,0,0
68,4,,0
68,4,,1
68,3,-600,1
68,1,,0
68,2,,0
68,2,,1
69,2,,0
69,2,,1
69,3,,0
69,3,,1
69,1,,0
69,4,0,0
69,4,-600,1
69,1,,1
70,4,,1
70,1,,1
70,2,,0
70,3,0,0
70,4,,0
70,1,,0
70,3,-600,1
70,2,,1
71,2,,1
71,3,,0
71,1,0,0
71,2,,0
71,4,,1
71,4,,0
71,1,0,1
71,3,,1
72,4,2,0
72,1,,0
72,2,,0
72,4,-2,1
72,2,,1
72,3,,0
72,1,,1
72,3,,1
73,3,,0
73,1,,1
73,4,,0
73,2,0,0
73,2,0,1
73,1,,0
73,4,,1
73,3,,1
74,3,0,0
74,1,,1
74,2,,1
74,4,,0
74,2,,0
74,4,,1
74,1,,0
74,3,0,1
75,2,,1
75,3,,1
75,3,,0
75,1,,1
75,4,0,0
75,4,-600,1
75,1,,0
75,2,,0
76,4,,1
76,3,,1
76,1,,1
76,3,,0
76,4,,0
76,2,-200,1
76,2,0,0
76,1,,0
77,4,,1
77,2,,1
77,4,,0
77,3,0,0
77,3,-500,1
77,1,,0
77,1,,1
77,2,,0
78,1,,0
78,2,,0
78,4,-600,1
78,2,,1
78,3,,1
78,3,,0
78,4,0,0
78,1,,1
79,2,-400,1
79,3,,0
79,4,,1
79,2,0,0
79,4,,0
79,1,,1
79,1,,0
79,3,,1
80,3,,0
80,2,,0
80,1,0,1
80,2,,1
80,1,0,0
80,4,,1
80,3,,1
80,4,,0
81,1,,1
81,2,,1
81,2,,0
81,4,0,0
81,4,-500,1
81,1,,0
81,3,,0
81,3,,1
82,2,,0
82,1,0,0
82,3,,0
82,4,,1
82,1,-200,1
82,2,,1
82,4,,0
82,3,,1
83,2,,1
83,2,,0
83,4,,0
83,3,0,0
83,1,,1
83,4,,1
83,3,-600,1
83,1,,0
84,2,,1
84,1,,1
84,3,,1
84,4,0,0
84,2,,0
84,3,,0
84,4,0,1
84,1,,0
85,4,0,1
85,3,,1
85,2,,1
85,2,,0
85,3,,0
85,4,0,0
85,1,,0
85,1,,1
86,4,,1
86,2,,0
86,3,100,0
86,2,,1
86,1,,0
86,1,,1
86,4,,0
86,3,-100,1
87,2,,1
87,3,0,0
87,2,,0
87,1,,0
87,3,0,1
87,4,,0
87,4,,1
87,1,,1
88,4,,0
88,3,,1
88,3,,0
88,1,,0
88,2,0,0
88,4,,1
88,1,,1
88,2,-400,1
89,1,,0
89,2,,0
89,4,-600,1
89,1,,1
89,3,,1
89,2,,1
89,3,,0
89,4,0,0
90,1,,1
90,1,,0
90,2,,1
90,3,,0
90,4,-200,1
90,3,,1
90,2,,0
90,4,0,0
91,3,,1
91,1,,1
91,4,0,1
91,2,,0
91,2,,1
91,4,0,0
91,1,,0
91,3,,0
92,4,,0
92,2,,1
92,4,,1
92,2,,0
92,3,,1
92,3,,0
92,1,0,0
92,1,0,1
93,3,,1
93,1,0,0
93,4,,0
93,4,,1
93,2,,1
93,2,,0
93,1,0,1
93,3,,0
94,2,0,1
94,4,,0
94,4,,1
94,1,,0
94,1,,1
94,2,0,0
94,3,,0
94,3,,1
95,4,,1
95,2,,0
95,1,0,0
95,4,,0
95,3,,0
95,3,,1
95,1,0,1
95,2,,1
96,2,,1
96,3,,0
96,1,0,0
96,4,,1
96,3,,1
96,1,0,1
96,4,,0
96,2,,0
97,1,,1
97,2,0,0
97,3,,1
97,2,-200,1
97,1,,0
97,3,,0
97,4,,1
97,4,,0
98,2,,0
98,2,,1
98,4,,0
98,3,0,0
98,3,0,1
98,4,,1
98,1,,0
98,1,,1
99,1,,1
99,3,,1
99,1,,0
99,4,-600,1
99,2,,1
99,2,,0
99,4,0,0
99,3,,0
100,3,0,0
100,2,,0
100,2,,1
100,1,,1
100,4,,0
100,3,-200,1
100,4,,1
100,1,,0
101,2,,0
101,2,,1
101,3,,1
101,4,,0
101,1,0,1
101,1,0,0
101,4,,1
101,3,,0
102,3,-600,1
102,3,0,0
102,4,,1
102,4,,0
102,2,,1
102,2,,0
102,1,,0
102,1,,1
103,3,,0
103,1,-200,0
103,4,,0
103,4,,1
103,2,,1
103,1,-200,1
103,2,,0
103,3,,1
104,4,-600,1
104,1,,1
104,3,,0
104,2,,1
104,3,,1
104,2,,0
104,1,,0
104,4,0,0
105,1,,1
105,2,,0
105,3,-200,1
105,1,,0
105,4,,0
105,3,0,0
105,4,,1
105,2,,1
106,4,0,0
106,1,,1
106,1,,0
106,3,,1
106,2,,0
106,3,,0
106,4,0,1
106,2,,1
107,2,,1
107,1,0,1
107,4,,0
107,2,,0
107,1,0,0
107,3,,0
107,4,,1
107,3,,1
108,3,0,1
108,4,,1
108,3,0,0
108,2,,1
108,1,,1
108,2,,0
108,4,,0
108,1,,0
109,1,0,1
109,3,,0
109,3,,1
109,2,,1
109,4,,1
109,2,,0
109,4,,0
109,1,0,0
110,2,,1
110,4,,1
110,1,0,1
110,3,,0
110,2,,0
110,3,,1
110,1,0,0
110,4,,0
111,2,,0
111,2,,1
111,4,,0
111,1,,0
111,3,-400,1
111,4,,1
111,3,0,0
111,1,,1
112,3,,0
112,2,-200,1
112,1,,0
112,3,,1
112,2,0,0
112,1,,1
112,4,,1
112,4,,0
113,4,,1
113,3,,1
113,2,0,1
113,1,,1
113,2,0,0
113,3,,0
113,4,,0
113,1,,0
114,3,,1
114,4,,1
114,2,,0
114,3,,0
114,2,,1
114,4,,0
114,1,0,0
114,1,0,1
115,1,,1
115,4,,0
115,3,400,0
115,3,0,1
115,2,,0
115,2,,1
115,4,,1
115,1,,0
116,4,,1
116,1,,0
116,3,0,0
116,4,,0
116,2,,0
116,1,,1
116,3,0,1
116,2,,1
117,3,,0
117,2,0,0
117,3,,1
117,4,,1
117,2,0,1
117,1,,0
117,4,,0
117,1,,1
118,2,,1
118,3,,1
118,3,,0
118,4,0,0
118,1,,1
118,2,,0
118,1,,0
118,4,-200,1
119,1,0,0
119,1,0,1
119,2,,1
119,2,,0
119,4,,0
119,3,,0
119,3,,1
119,4,,1
120,3,,1
120,4,0,0
120,2,,0
120,2,,1
120,1,,1
120,4,-600,1
120,1,,0
120,3,,0
121,2,,0
121,2,,1
121,1,,1
121,3,,0
121,1,,0
121,4,-200,1
121,4,0,0
121,3,,1
122,2,,0
122,1,,1
122,3,-100,0
122,1,,0
122,4,,1
122,3,-100,1
122,4,,0
122,2,,1
123,4,,1
123,3,0,0
123,3,-400,1
123,2,,0
123,2,,1
123,1,,1
123,1,,0
123,4,,0
124,3,,1
124,3,,0
124,2,,0
124,2,,1
124,4,0,0
124,1,,1
124,1,,0
124,4,0,1
125,4,,0
125,4,,1
125,2,0,0
125,3,,1
125,2,-400,1
125,1,,0
125,3,,0
125,1,,1
126,3,,0
126,2,,0
126,3,,1
126,4,,0
126,1,0,1
126,4,,1
126,1,0,0
126,2,,1
127,2,,1
127,2,,0
127,1,,0
127,1,,1
127,4,,1
127,4,,0
127,3,0,1
127,3,0,0
128,4,,1
128,1,0,1
128,4,,0
128,2,,1
128,3,,1
128,2,,0
128,1,0,0
128,3,,0
129,4,,1
129,1,0,0
129,1,0,1
129,3,,1
129,4,,0
129,2,,1
129,3,,0
129,2,,0
130,1,,1
130,2,0,1
130,3,,1
130,1,,0
130,4,,1
130,2,0,0
130,4,,0
130,3,,0
131,1,,0
131,3,,0
131,4,,0
131,4,,1
131,1,,1
131,3,,1
131,2,-600,1
131,2,0,0
132,2,,1
132,1,,0
132,3,,1
132,4,-600,1
132,2,,0
132,1,,1
132,4,0,0
132,3,,0
133,2,,0
133,3,,1
133,4,,0
133,3,,0
133,1,0,0
133,2,,1
133,1,-600,1
133,4,,1
134,3,0,1
134,4,,1
134,2,,1
134,1,,1
134,3,0,0
134,4,,0
134,2,,0
134,1,,0
135,1,,0
135,2,0,0
135,3,,1
135,1,,1
135,4,,0
135,4,,1
135,3,,0
135,2,-600,1
136,3,0,0
136,3,-600,1
136,1,,0
136,4,,1
136,4,,0
136,2,,1
136,2,,0
136,1,,1
137,1,,0
137,2,,0
137,1,,1
137,4,0,0
137,4,0,1
137,2,,1
137,3,,0
137,3,,1
138,4,,0
138,2,0,0
138,1,,1
138,3,,0
138,2,-400,1
138,1,,0
138,3,,1
138,4,,1
139,2,,1
139,3,,1
139,1,,0
139,4,0,1
139,4,0,0
139,2,,0
139,1,,1
139,3,,0
140,2,,1
140,1,,1
140,1,,0
140,2,,0
140,3,,1
140,4,0,1
140,4,0,0
140,3,,0
141,3,0,1
141,2,,0
141,4,,0
141,3,0,0
141,2,,1
141,4,,1
141,1,,0
141,1,,1
142,4,,1
142,3,0,0
142,3,0,1
142,1,,0
142,2,,1
142,1,,1
142,4,,0
142,2,,0
143,1,,0
143,2,,0
143,4,0,0
143,4,600,1
143,3,,1
143,2,,1
143,3,,0
143,1,,1
144,3,,1
144,4,,1
144,1,,0
144,1,,1
144,2,0,0
144,3,,0
144,4,,0
144,2,0,1
145,4,0,0
145,2,,0
145,4,0,1
145,3,,1
145,1,,1
145,1,,0
145,2,,1
145,3,,0
146,4,,0
146,2,0,0
146,1,,0
146,1,,1
146,3,,1
146,2,0,1
146,3,,0
146,4,,1
147,2,,0
147,4,,0
147,4,,1
147,1,,0
147,3,-600,1
147,3,0,0
147,1,,1
147,2,,1
148,3,,0
148,1,0,0
148,2,,1
148,4,,1
148,2,,0
148,1,0,1
148,3,,1
148,4,,0
149,2,0,0
149,4,,0
149,1,,0
149,2,-600,1
149,4,,1
149,3,,1
149,1,,1
149,3,,0
150,3,,1
150,2,,1
150,1,0,0
150,3,,0
150,4,,0
150,4,,1
150,1,0,1
150,2,,0
151,1,,0
151,4,-600,1
151,4,0,0
151,3,,0
151,2,,1
151,3,,1
151,1,,1
151,2,,0
152,4,,0
152,3,0,1
152,1,,1
152,3,0,0
152,4,,1
152,2,,1
152,1,,0
152,2,,0
153,2,,1
153,1,,1
153,1,,0
153,4,-600,1
153,3,,0
153,2,,0
153,3,,1
153,4,0,0
154,3,,1
154,1,0,0
154,1,0,1
154,3,,0
154,4,,1
154,2,,0
154,2,,1
154,4,,0
155,1,0,0
155,3,,0
155,4,,1
155,4,,0
155,2,,1
155,2,,0
155,1,0,1
155,3,,1
156,4,,1
156,2,0,0
156,1,,1
156,1,,0
156,4,,0
156,2,0,1
156,3,,1
156,3,,0
157,3,,0
157,1,0,0
157,4,,0
157,4,,1
157,2,,1
157,3,,1
157,2,,0
157,1,0,1
158,3,,0
158,2,-200,1
158,4,,0
158,4,,1
158,1,,1
158,2,0,0
158,3,,1
158,1,,0
159,2,0,0
159,3,,1
159,4,,1
159,1,,0
159,4,,0
159,2,200,1
159,1,,1
159,3,,0
160,1,,0
160,2,0,0
160,3,,0
160,1,,1
160,2,0,1
160,4,,1
160,3,,1
160,4,,0
161,1,,1
161,2,,1
161,1,,0
161,3,0,0
161,3,-400,1
161,2,,0
161,4,,0
161,4,,1
162,3,,0
162,4,,0
162,2,,1
162,1,0,1
162,3,,1
162,4,,1
162,1,0,0
162,2,,0
163,1,,1
163,4,,0
163,1,,0
163,2,-200,1
163,3,,1
163,4,,1
163,2,0,0
163,3,,0
164,4,,0
164,3,,0
164,2,,1
164,1,0,0
164,1,0,1
164,3,,1
164,2,,0
164,4,,1
165,2,0,1
165,2,0,0
165,4,,1
165,1,,0
165,3,,1
165,1,,1
165,3,,0
165,4,,0
166,3,,1
166,4,-600,1
166,1,,0
166,1,,1
166,3,,0
166,4,0,0
166,2,,0
166,2,,1
167,1,,0
167,1,,1
167,2,,0
167,4,,1
167,4,,0
167,3,0,0
167,2,,1
167,3,-600,1
168,1,0,1
168,3,,1
168,3,,0
168,2,,0
168,1,0,0
168,4,,1
168,4,,0
168,2,,1
169,4,0,1
169,3,,0
169,4,-800,0
169,2,,1
169,2,,0
169,1,,0
169,3,,1
169,1,,1
170,2,0,0
170,4,,1
170,2,0,1
170,3,,0
170,3,,1
170,1,,0
170,1,,1
170,4,,0
171,2,,1
171,1,,1
171,4,0,0
171,4,0,1
171,3,,1
171,3,,0
171,1,,0
171,2,,0
172,3,,1
172,4,,0
172,2,,1
172,3,,0
172,1,0,0
172,1,0,1
172,2,,0
172,4,,1
173,1,,0
173,3,,1
173,2,,1
173,4,0,1
173,1,,1
173,2,,0
173,3,,0
173,4,0,0
174,2,,0
174,3,,1
174,1,0,0
174,1,0,1
174,2,,1
174,4,,0
174,4,,1
174,3,,0
175,3,,1
175,4,,0
175,4,,1
175,2,,0
175,1,0,1
175,3,,0
175,2,,1
175,1,0,0
176,4,,1
176,2,,0
176,1,,0
176,3,-600,1
176,4,,0
176,1,,1
176,3,0,0
176,2,,1
177,2,,0
177,3,0,0
177,1,,1
177,2,,1
177,3,0,1
177,1,,0
177,4,,1
177,4,,0
178,2,0,0
178,3,,0
178,4,,1
178,1,,1
178,3,,1
178,4,,0
178,1,,0
178,2,0,1
179,4,,1
179,1,,0
179,3,,1
179,4,,0
179,2,-100,1
179,2,0,0
179,1,,1
179,3,,0
180,3,,1
180,1,0,0
180,2,,1
180,4,,1
180,1,0,1
180,3,,0
180,2,,0
180,4,,0
181,4,,0
181,1,,0
181,1,,1
181,2,,0
181,4,,1
181,3,0,0
181,2,,1
181,3,0,1
182,3,-600,1
182,2,,0
182,4,,0
182,1,,1
182,1,,0
182,3,0,0
182,4,,1
182,2,,1
183,1,0,0
183,4,,1
183,2,,1
183,4,,0
183,2,,0
183,3,,1
183,3,,0
183,1,-600,1
184,2,0,0
184,2,400,1
184,4,,1
184,1,,0
184,4,,0
184,3,,1
184,3,,0
184,1,,1
185,4,,1
185,4,,0
185,2,,0
185,1,,0
185,1,,1
185,3,0,0
185,2,,1
185,3,-600,1
186,4,0,1
186,3,,0
186,2,,1
186,3,,1
186,2,,0
186,1,,0
186,4,0,0
186,1,,1
187,3,,1
187,4,0,1
187,2,,1
187,4,0,0
187,3,,0
187,2,,0
187,1,,1
187,1,,0
188,3,,0
188,4,0,1
188,2,,0
188,2,,1
188,4,0,0
188,1,,0
188,1,,1
188,3,,1
189,3,-200,1
189,2,,1
189,1,,1
189,4,,0
189,3,0,0
189,1,,0
189,4,,1
189,2,,0
190,1,,1
190,4,,1
190,3,0,0
190,2,,0
190,4,,0
190,1,,0
190,2,,1
190,3,0,1
191,3,,1
191,2,,1
191,2,,0
191,4,0,0
191,1,,1
191,3,,0
191,4,0,1
191,1,,0
192,1,,0
192,3,,1
192,2,,1
192,4,0,1
192,3,,0
192,4,0,0
192,2,,0
192,1,,1
193,2,0,1
193,3,,0
193,1,,0
193,1,,1
193,3,,1
193,4,,1
193,4,,0
193,2,0,0
194,4,,1
194,3,,1
194,2,-200,1
194,2,0,0
194,1,,1
194,1,,0
194,3,,0
194,4,,0
195,4,,0
195,1,,0
195,4,,1
195,2,0,1
195,3,,0
195,3,,1
195,2,0,0
195,1,,1
196,1,,0
196,4,0,0
196,2,,0
196,4,-600,1
196,3,,1
196,1,,1
196,3,,0
196,2,,1
197,3,,0
197,4,,1
197,2,,1
197,1,0,1
197,2,,0
197,4,,0
197,3,,1
197,1,0,0
198,2,,0
198,3,,1
198,1,,1
198,1,,0
198,4,-998,0
198,2,,1
198,4,100,1
198,3,,0
199,1,,0
199,3,,0
199,3,,1
199,2,0,0
199,4,,1
199,1,,1
199,4,,0
199,2,0,1
200,4,,1
200,2,,0
200,1,0,0
200,1,-600,1
200,3,,1
200,2,,1
200,3,,0
200,4,,0
